fil_1: greenwich council; certified platinum; scheduled castes; outdoor clay courts; loved ones; 
fil_755: contracted the disease; supplementary volume; brenier de montmorand; antoine franã§ois brenier de montmorand; antoine franã§ois brenier; 
fil_756: twilight zone; northern mallee; basement suites; mechanical engineering; mickey rooney; 
fil_76: male householder with no wife present; male householder; per capita income for the town; household in the town; median age; 
fil_760: zaphod and ford; toronto franchise history; reach the ground; landed on the back; title is a reference; 
fil_761: herschel walker; antiques dealer; drew bledsoe; onnum ridge; basingstoke and deane; 
fil_762: secret negotiations; pulitzer prize; belgian congo; kana and yukari; ambitious plan; 
fil_763: tilbury docks; plays as a winger; thinly veiled; fleetwood town; course of his career; 
fil_765: outstanding guest actress in a drama; outstanding guest actress; ancient greece; established in 2003; administrative divisions; 
fil_766: smaller dollar coin; unitary authorities; car rental; restricted by law; mcenroe lost; 
fil_767: weak tropical low; weak tropical low had formed; weak tropical low had developed; tropical weather outlook; tcwc perth reported that a weak; 
fil_768: natural gas reserves; situation semantics; underway in earnest; director's cut; rules footballer who played with carlton; 
fil_769: golkar chairman; 1977 general elections; 110th congress; retired american professional basketball; won the favours; 
fil_77: racial makeup of the town; household in the cdp; capita income for the cdp; per capita income for the town; household in the town; 
fil_770: age of 79; age of six; funeral was held; federal bureau of investigation; bridge was completed; 
fil_771: office supervisor; feels unable; kabarnet museum; party contested; pushed forward; 
fil_774: recording new material; occasionally appearing; affordable care act; trier high school in winnetka; rare vagrant; 
fil_775: inability to stop; guiding light; novel is set; karl marx; lease of the line; 
fil_776: talk to al; nocturnal species; el camino; old school bus; sharp contrast; 
fil_779: buildings or roads; rest of the land; agricultural purposes; zimbabwe rhodesia; rugby and stafford; 
fil_78: racial makeup of the town; racial makeup of the township; population were below the poverty; population were below; those age 65; 
fil_780: immediately preceded; preserves fossils dating; ordovician period; cities are linked; olympics and paralympics; 
fil_781: substrates of this enzyme; orville coast; female sex; western economic diversification; entire run; 
fil_782: fort randolph; integrative medicine; upstream and downstream; decadal growth; key contributors; 
fil_783: station's studio is located; station's studio; manila broadcasting company in the philippines; nancy sinatra; propose to abolish; 
fil_784: thq announced; old sorrel; located in the southern part; louisiana state university in baton rouge; producer and director; 
fil_785: secretion of insulin; secrete insulin; angeline stickney; son of a dairy farmer; slowly pull; 
fil_786: woman in exchange for sex; exchange for sex; convicted and sentenced; noam chomsky; male incubates; 
fil_787: 5 sublevels; reluctant to accept; 1999 to 2008; office of research; short illness; 
fil_789: lyme regis; yarington's play; subject of yarington's; fra angelico; internet explorer; 
fil_79: town the population was spread; householder with no husband; female householder; children under the age; average household size; 
fil_790: uc irvine; employees to pass; founded in 1913; mechanical engineers; domestic partners; 
fil_792: inability to stop; associated companies; guiding light; novel is set; karl marx; 
fil_793: youtube video of dezerter; vung tau; see youtube video; guards cavalry corps; queens county heritage; 
fil_794: xæ°æ¡ng xã­; vied for control; sarai alamgir; honorary doctorate; educated at eton; 
fil_795: partially blinded; v's rule; notable residents; lds church; palacio municipal; 
fil_796: royal australian navy; shaun udal; hosts agree; sundance film festival; scalar function; 
fil_797: spratly islands; bani zeid; stone temple pilots; hughes bay; nrl grand final win; 
fil_798: tour of southland; detroit pistons; metra station; drapery business; tropical cyclones; 
fil_799: avatar is romancing; joachim von ribbentrop; takes the job; sopra minerva; veronica was sarah; 
fil_8: military advisor; life peer; created a life peer; royal borough; town of sandwich; 
fil_80: male householder with no wife present; male householder; 117 households; ages of 18; residents were under the age; 
fil_800: milton h; koss call letters; regulate interstate commerce; muscle shoals; adult contemporary format; 
fil_802: swapo's secretary; modify their motorcycles; known to modify their motorcycles; known to modify; hubert broad; 
fil_803: wah sin san fan tong; wah sin; truce was signed; tong â€“ wah; rostral anterior cingulate; 
fil_804: wide array; extreme points; end of season 3; currently searching; sport bike; 
fil_806: wrote extensively; citizenship and immigration; 5â€“3 on aggregate; amherst college; hurricane katrina; 
fil_807: end of the nineteenth century; found in peru; tortricinae of the family tortricidae; subfamily tortricinae; moths belonging to the subfamily tortricinae; 
fil_808: sayed murad; paâ 39; lotf ali khan; hersheypark drive; hershey road; 
fil_809: vast holdings; populist sinhalese; modern philosophy; grandma g; annie besant; 
fil_81: census of 2010; dark fire; 43 households; states census bureau; het scheur; 
fil_810: valkyrie ii; leaf string; iff the leaf string; commemorating the 50th anniversary; attempting to broker; 
fil_811: trumpet player; island of luzon; married three times; heavy tribute imposed; final assault; 
fil_812: novels and short stories; conservatory theatre in san francisco; police arrive; walnut creek; noah beery; 
fil_813: nation of merchants; lemon drops; boston globe/horn; body whorl; decca records; 
fil_815: 65 years of age or older; age or older; couples living together; average family size; someone living alone who was 65; 
fil_816: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_818: southern poland; canada in 1974; santa rosa; falkland islands dependencies; hughes bay; 
fil_819: dna replication; word is shown; struggle to survive; sarcoid granulomas; betty bowers; 
fil_82: none of the families; 117 households; land and is water; population were living below the poverty; population were living below; 
fil_820: outdoor clay courts; sittin' on go; bunurong marine; brutally raped; solitary confinement; 
fil_821: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_823: removed from his post; landing place; established in 1926; buddhist temples; entire field; 
fil_825: united states fish and wildlife service; wildlife service; daniel spoerri; free kick; old trafford; 
fil_827: rq character; pink turns to blue; pink turns; hã¼sker dã¼; serve different purposes; 
fil_828: cavan senior football championship; championship is an annual gaelic athletic; annual gaelic athletic; violence policy center; reduce gun violence; 
fil_829: variety of colors; goals in all competitions; 1923 to 1928; museums and galleries; well as comparative religion; 
fil_830: kaliningrad oblast; roads act 1993; regional capital olsztyn; east of the regional capital olsztyn; northern poland; 
fil_831: troops of louis xiv; sodium compounds; sixteen cards; sikh religion; sicilian cuisine; 
fil_833: life of st; hard seed coats; grade was double tracked; eighth crusade; double tracked; 
fil_834: travers stakes; alessandro suggests; recent research has focused; mouse model; fall of 2009; 
fil_835: caffã¨ macchiato; arrivals and departures; god save; close combat; bocas town; 
fil_836: yishan road; naze tower; loop line; le gallienne; great eastern main line; 
fil_837: whodunit storyline; stratford and tottenham; hackney wick; collins crime club; lea bridge road; 
fil_84: racial makeup of the township; racial makeup of the town; states census bureau; 65 years of age or older; age or older; 
fil_840: bob's crew; wife and child; welcome back; quincy jones; earn a bachelor's; 
fil_841: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_842: ted mack; governor price daniel; coupe de france; changing exhibits; convergence center; 
fil_843: watkins glen; boy and a girl; fort benning; currently used mostly for football matches; low countries; 
fil_844: n64 version; hunt and dave rees; dave rees; n64 game; â€œplanetary boundariesâ€; 
fil_845: oriya language poet; come live with me; penal colony; 1st century ce followed; claimed off waivers; 
fil_847: wildlife rapid rescue; bombing of freiburg; stay in business; southwest corner; chief counsel; 
fil_849: nodes in average proportionally; network nodes; maui nui; average proportionally to a number; average proportionally; 
fil_85: household in the cdp; capita income for the cdp; per capita income for the town; household in the town; those under the age of eighteen; 
fil_850: height of her career; south sudan; elvin jones; genus of fungi; st idloes; 
fil_852: deposits of graphite; belfast giants; turkic languages; spoken natively; october 1974 election; 
fil_853: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_854: representatives of cavite; corrosion cracking; arjen robben; bayern munich; ryan giggs; 
fil_855: lillafã¼red and felså‘hã¡mor; fsa staff; barlow moor; random variables; southern shores; 
fil_857: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_858: abbey theatre; professor grundfest; derry 'b'; hoover institution; elected to membership; 
fil_859: fourth woman to win; 100m and 200m; synchronised swimming; aquatics championships; species of bird; 
fil_860: â€˜jawab e shikwaâ€™; zamin kanturi; urdu and persian; shi'ite scholars; member of the working committee; 
fil_862: gse preparations; grapefruit seeds; antimicrobial effect; muscular dystrophy; ethyl alcohol; 
fil_863: luther vandross; released as the first single; can't stop loving; wealth of material; victoria harbour; 
fil_864: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_865: talk to al; nocturnal species; el camino; it's hard; old school bus; 
fil_866: mexican bobcat; coast guard academy; guido of arezzo; political divisions; delaware bay; 
fil_867: band flew; supporting role; number of factors; rossall hall; one's state of consciousness; 
